1,33.333,83.333,4.6667,15.333,15.333,21.333,15,31.333,46.333,17.333,6.3333,5.6667,16,27,86.667,0.33333,1,1,-1,37.667,83.333,10.667,21,16.333,19,8.6667,29.333,38,22.667,8.3333,5.6667,11.667,20.667,102.33,0.66667,-1,1
-1,37,87.5,8,19.5,10,14.5,11.5,29,40.5,18.5,8.5,4.5,12.5,29.5,92,0,-2,-1,1,32,75.667,10,23.333,22,29.667,9.3333,31.333,40.667,17.333,4.3333,5,11.667,20.333,96,0.66667,1,-1
1,30.333,76.667,7.6667,20.333,23,28,11.333,31.667,43,22.333,6.6667,6,17.333,25.667,91.333,0.66667,1,-1,-1,34.5,75.5,4,12.5,23,28.5,13,33.5,46.5,17.5,7,5.5,17,19.5,96,0.5,-1,-1
1,36.5,78,6.5,14.5,22,31,11.5,27,38.5,19,5,2.5,12.5,19,101.5,0.5,1,1,-1,36.333,84.667,6,19.667,23.667,32.333,12.333,38.667,51,23.333,8.3333,8.6667,16,20.333,102.33,0.66667,-1,1
-1,33.333,75.333,2.6667,9.6667,21.333,25.333,8.3333,23.667,32,16.667,6.6667,2.6667,14.667,21.667,90.667,0,-3,-3,-1,40,92.667,5.6667,14.333,15.333,21.333,11.667,38,49.667,25.333,8.3333,3.6667,19.667,22.667,101,0,-3,-1
-1,31.667,73,5,14.333,23,29.667,11.333,31.333,42.667,16.667,8.6667,6,17.667,21,91.333,0.33333,-2,-2,1,41,87.5,8.5,26.5,15,21.25,9.25,31.5,40.75,25,10,4.25,12.75,17.75,105.5,0.75,2,-1
1,36.5,79,9.5,23.5,18,24,9,35,44,20.5,8.5,4.5,16,26,100.5,1,2,-1,-1,38,85,6,18.75,22.75,32.25,12.25,36,48.25,22.5,8,8.25,15,22,104.75,0.5,-2,-1
1,39.333,88,8,20.667,22.333,28,12.333,36.333,48.667,21.667,10,7.3333,16,29.667,109,1,3,-1,1,39.333,84.333,7.6667,18.667,24.333,31.333,13,34.667,47.667,25.333,8.6667,5.6667,15,22.333,110.67,1,3,-1
-1,35,82.333,3.6667,14.333,20,29.667,15.333,33.333,48.667,18.333,6.6667,5.6667,17,21,93.667,0.33333,-1,1,-1,33,75.667,6,16.333,19.667,31,16.333,27.667,44,16.667,8.3333,4.3333,19.333,24.667,91.667,0.66667,-1,1
-1,36.667,79,4.6667,12,12,14.667,9,29,38,16.333,2.6667,3,15.667,18.333,90,0,-3,-3,1,39.5,82.5,10.75,23.75,17.25,21.25,10,35,45,23.75,7.75,5.25,14.25,20.75,107,1,4,-2
-1,35.5,79.5,8.25,20.5,17.5,24,8.5,31.5,40,20.5,8.5,5.75,12,19.75,96.75,0.75,-1,-1,-1,34,82,5.3333,13.333,11,18,11.333,33.667,45,18.667,5.6667,5.6667,15.333,18.333,84.333,0,-3,1
-1,39.5,89.25,6.25,16,15,20.5,11.75,36,47.75,23.75,9,3.75,21,24.25,100.25,0,-4,-2,-1,35,73,10,25,26,35.5,6,33.5,39.5,20.5,5,4.5,20.5,23.5,106,0,-2,2
-1,36.25,81.75,10,20,15.5,18.75,8,28.5,36.5,22.25,8.25,4.75,12.5,21,98,0.5,-2,-1,1,32.75,75,10,23.5,24.25,33.25,9.5,31,40.5,18.25,5,4.25,11,20.5,99.75,0.75,2,-2
-1,42,83.5,5.75,13.75,23.75,32.25,13,29.5,42.5,27.25,8.25,4.25,17.75,25.75,113.5,0.5,-1,-1,1,36.5,83.25,7.25,18.5,15.75,23.25,12.5,33.5,46,20,6.75,5,15,21.75,96,0.5,1,-2
